id;eikon_deal_id;verified_deal;potential_deal_cos05;acquiror;manually_checked_acquiror;manually_checked_target;best_match_link_corrected;best_match_review_amount_corrected;full_name;full_name_cleaned;Reviews_cumsum;bucket
3807;34391312596;1;1;1;1;1;https://www.glassdoor.com/Reviews/dressbarn-Reviews-E1345.htm;853;Dress Barn Inc;Dress Barn;395774;1
8178;34391312596;1;1;0;1;1;https://www.glassdoor.com/Reviews/Tween-Brands-Reviews-E9737.htm;157;Tween Brands Inc;Tween Brands;395931;1
3673;34391313541;1;1;1;1;1;https://www.glassdoor.com/Reviews/Aetna-Reviews-E16.htm;400;Aetna Inc;Aetna;396331;1
8259;34391313541;1;1;0;1;1;https://www.glassdoor.com/Reviews/Horizon-Health-Corporation-Reviews-E3996.htm;48;Horizon Health Corp;Horizon Health;396379;1
3811;34391313877;1;1;1;1;1;https://www.glassdoor.com/Reviews/Steak-n-Shake-Reviews-E1296.htm;1900;Steak n Shake Co;Steak n Shake;398279;1
8185;34391313877;1;1;0;1;1;https://www.glassdoor.com/Reviews/Western-Sizzlin-Reviews-E3873.htm;50;Western Sizzlin Corp;Western Sizzlin;398329;1
3644;34391314236;1;1;1;1;1;https://www.glassdoor.com/Reviews/Baker-Hughes-Reviews-E1902699.htm;3400;Baker Hughes Inc;Baker Hughes;401729;1
8186;34391314236;1;1;0;1;1;https://www.glassdoor.com/Reviews/BJ-Services-Reviews-E909.htm;187;BJ Services Co;BJ Services;401916;1
3768;34391314240;1;1;1;1;1;https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm;9200;Walt Disney Co;Walt Disney;411116;1
8247;34391314240;1;1;0;1;1;https://www.glassdoor.com/Reviews/Marvel-Entertainment-Reviews-E3929.htm;110;Marvel Entertainment Inc;Marvel Entertainment;411226;1
3647;34391314657;1;1;1;1;1;https://www.glassdoor.com/Reviews/Adobe-systems-Reviews-EI_IE1090.0,5_KO6,13.htm;8300;Adobe Systems Inc;Adobe Systems;419526;1
8187;34391314657;1;1;0;1;1;https://www.glassdoor.com/Reviews/Omniture-Reviews-E15169.htm;84;Omniture Inc;Omniture;419610;1
3787;34391315209;1;1;1;1;1;https://www.glassdoor.com/Reviews/Sitel-Group-Reviews-E11480.htm;9727;Sykes Enterprises Inc;Sykes Enterprises;429337;1
8250;34391315209;1;1;0;1;1;https://www.glassdoor.com/Reviews/ICT-Group-Reviews-E5960.htm;42;ICT Group Inc;ICT Group;429379;1
3687;34391315875;1;1;1;1;1;https://www.glassdoor.com/Reviews/Berkshire-Hathaway-Reviews-E805672.htm;693;Berkshire Hathaway Inc;Berkshire Hathaway;430072;1
8310;34391315875;1;1;0;1;1;https://www.glassdoor.com/Reviews/BNSF-Railway-Reviews-E18514.htm;1934;Burlington Northern Santa Fe LLC;Burlington Northernnta Fe;432006;1
3669;34391317041;1;1;1;1;1;https://www.glassdoor.com/Reviews/ExxonMobil-Reviews-E237.htm;200;Exxon Mobil Corp;Exxon Mobil;432206;1
8203;34391317041;1;1;0;1;1;https://www.glassdoor.com/Reviews/XTO-Energy-Reviews-E2299.htm;173;XTO Energy Inc;XTO Energy;432379;1
3200;34391318444;1;1;1;1;1;https://www.glassdoor.com/Reviews/Manpower-Reviews-E2548.htm;5800;Manpower Inc;Manpower;438179;1
7825;34391318444;1;1;0;1;1;https://www.glassdoor.com/Reviews/COMSYS-IT-Partners-Reviews-E5110.htm;47;COMSYS IT Partners Inc;COMSYS IT Partners;438226;1
3404;34391320358;1;1;1;1;1;https://www.glassdoor.com/Reviews/Visa-Inc-Reviews-E3035.htm;4600;Visa Inc;Visa;442826;1
